Date,Category,Demand,Predicted_Demand
9/3/2023,Electronics,93,101.14
9/4/2023,Electronics,111,95.79
9/5/2023,Electronics,105,118.21
9/6/2023,Electronics,115,107.56
9/7/2023,Electronics,103,95.53
9/8/2023,Electronics,96,91.79
9/9/2023,Electronics,80,85.67
9/10/2023,Electronics,164,111.8
9/11/2023,Electronics,108,131.79
9/12/2023,Electronics,83,93.64
9/13/2023,Electronics,108,112.01
9/14/2023,Electronics,133,138.51
9/15/2023,Electronics,49,117.5
9/16/2023,Electronics,72,85.2
9/17/2023,Electronics,96,98.27
9/18/2023,Electronics,120,103.18
9/19/2023,Electronics,103,99.29
9/20/2023,Electronics,103,88.74
9/21/2023,Electronics,59,67.39
9/22/2023,Electronics,84,84.5
9/23/2023,Electronics,88,96.67
9/24/2023,Electronics,120,99.65
9/25/2023,Electronics,135,106.23
9/26/2023,Electronics,91,97.6
9/27/2023,Electronics,97,90.96
9/28/2023,Electronics,47,84.25
9/29/2023,Electronics,107,109.31
9/30/2023,Electronics,92,84.49
10/1/2023,Electronics,98,87.84
10/2/2023,Electronics,169,126.6
10/3/2023,Electronics,72,86.98
10/4/2023,Electronics,90,93.48
10/5/2023,Electronics,78,72.9
10/6/2023,Electronics,80,74.54
10/7/2023,Electronics,58,57.24
10/8/2023,Electronics,23,51.16
10/9/2023,Electronics,44,59.23
10/10/2023,Electronics,43,42.75
10/11/2023,Electronics,82,52.89
10/12/2023,Electronics,49,61.74
10/13/2023,Electronics,38,43.08
10/14/2023,Electronics,34,34.92
10/15/2023,Electronics,28,39.21
10/16/2023,Electronics,46,42.16
10/17/2023,Electronics,66,64.52
10/18/2023,Electronics,20,34.63
10/19/2023,Electronics,53,44.69
10/20/2023,Electronics,77,58.3
10/21/2023,Electronics,36,37.24
10/22/2023,Electronics,47,43.71
10/23/2023,Electronics,101,66.55
10/24/2023,Electronics,53,53.07
10/25/2023,Electronics,152,96.41
10/26/2023,Electronics,106,99.92
10/27/2023,Electronics,143,103.59
10/28/2023,Electronics,114,117.08
10/29/2023,Electronics,162,116.77
10/30/2023,Electronics,109,108.76
10/31/2023,Electronics,66,91.59
11/1/2023,Electronics,99,115.21
11/2/2023,Electronics,128,114.31
11/3/2023,Electronics,137,124.9
11/4/2023,Electronics,120,99.49
11/5/2023,Electronics,105,108.34
11/6/2023,Electronics,97,101.8
11/7/2023,Electronics,99,111.92
11/8/2023,Electronics,144,150.12
11/9/2023,Electronics,117,111.47
11/10/2023,Electronics,77,88.98
11/11/2023,Electronics,91,93.8
